,Day,Date,Competition,A,B,Score A,Score B
0,Fri,2019-06-07,WWC,France,Korea Republic,0,0
1,Sat,2019-06-08,WWC,Germany,China PR,0,0
2,Sat,2019-06-08,WWC,Spain,South Africa,0,0
3,Sat,2019-06-08,WWC,Norway,Nigeria,0,0
4,Sun,2019-06-09,WWC,Australia,Italy,0,0
5,Sun,2019-06-09,WWC,Brazil,Jamaica,0,0
6,Sun,2019-06-09,WWC,England,Scotland,0,0
8,Mon,2019-06-10,WWC,Canada,Cameroon,0,0
7,Mon,2019-06-10,WWC,Argentina,Japan,0,0
9,Tue,2019-06-11,WWC,New Zealand,Netherlands,0,0
10,Tue,2019-06-11,WWC,Chile,Sweden,0,0
11,Tue,2019-06-11,WWC,United States,Thailand,0,0
12,Wed,2019-06-12,WWC,Nigeria,Korea Republic,0,0
13,Wed,2019-06-12,WWC,Germany,Spain,0,0
14,Wed,2019-06-12,WWC,France,Norway,0,0
16,Thu,2019-06-13,WWC,South Africa,China PR,0,0
15,Thu,2019-06-13,WWC,Australia,Brazil,0,0
19,Fri,2019-06-14,WWC,England,Argentina,0,0
17,Fri,2019-06-14,WWC,Japan,Scotland,0,0
18,Fri,2019-06-14,WWC,Jamaica,Italy,0,0
20,Sat,2019-06-15,WWC,Netherlands,Cameroon,0,0
21,Sat,2019-06-15,WWC,Canada,New Zealand,0,0
22,Sun,2019-06-16,WWC,Sweden,Thailand,0,0
23,Sun,2019-06-16,WWC,United States,Chile,0,0
27,Mon,2019-06-17,WWC,Korea Republic,Norway,0,0
24,Mon,2019-06-17,WWC,South Africa,Germany,0,0
25,Mon,2019-06-17,WWC,China PR,Spain,0,0
26,Mon,2019-06-17,WWC,Nigeria,France,0,0
28,Tue,2019-06-18,WWC,Jamaica,Australia,0,0
29,Tue,2019-06-18,WWC,Italy,Brazil,0,0
30,Wed,2019-06-19,WWC,Japan,England,0,0
31,Wed,2019-06-19,WWC,Scotland,Argentina,0,0
33,Thu,2019-06-20,WWC,Cameroon,New Zealand,0,0
34,Thu,2019-06-20,WWC,Sweden,United States,0,0
32,Thu,2019-06-20,WWC,Netherlands,Canada,0,0
35,Thu,2019-06-20,WWC,Thailand,Chile,0,0
